restaurant_id,Market Segment,Price Group,Room Type,latitude,longitude
74021938,Bratsk,6,3,56.1517085,101.6334907
74220437,Bronnitsy,4,4,55.422,38.2591
74021282,Bryansk,0,0,53.27896405,34.36589361201107
74021462,Bryansk,0,2,53.27896405,34.36589361201107
74021973,Bryansk,0,0,53.27896405,34.36589361201107
74021516,Bykovo,0,3,55.6311596,38.0761816
74021319,Chaykovsky,0,3,56.7787468,54.1500704
74021302,Cheboksary,4,0,56.1307195,47.2449597
74021639,Cheboksary,4,3,56.1307195,47.2449597
74221272,Chekhov,4,0,55.1426603,37.4545328
74022011,Chekhov,0,2,55.1426603,37.4545328
74020520,Chelyabinsk,9,0,55.1598408,61.4025547
74020652,Chelyabinsk,9,3,55.1598408,61.4025547
74020653,Chelyabinsk,9,0,55.1598408,61.4025547
74021244,Chelyabinsk,9,3,55.1598408,61.4025547
74021567,Chelyabinsk,9,0,55.1598408,61.4025547
74321790,Chelyabinsk,9,4,55.1598408,61.4025547
74321791,Chelyabinsk,9,2,55.1598408,61.4025547
74321792,Chelyabinsk,9,1,55.1598408,61.4025547
74321819,Chelyabinsk,9,1,55.1598408,61.4025547
74321820,Chelyabinsk,9,3,55.1598408,61.4025547
74321827,Chelyabinsk,9,0,55.1598408,61.4025547
74020617,Cherepovets,4,3,59.128696,37.916389
74021903,Cherepovets,4,4,59.128696,37.916389
74020672,Cherkessk,4,3,44.22538305,42.06819662981461
74221036,Chernaya Gryaz,0,2,56.2277649,28.4191006
74321845,Chernogorsk,6,3,53.828236,91.31321
74021878,Chita,6,0,52.033409,113.500893
74021879,Chita,6,0,52.033409,113.500893
74220840,Churilkovo,4,2,55.4953336,37.8301044
74022006,Dagestanskie Ogni,4,4,42.1152434,48.1864201
74022007,Derbent,4,3,42.057858,48.2887648
74220713,Dmitrov,4,4,56.3450695,37.5200723
74220911,Dmitrov,4,3,56.3450695,37.5200723
74221173,Dolgoprudny,4,3,55.946607650000004,37.50483582166906
74021607,Domodedovo,0,3,55.4368213,37.7680693
74220659,Domodedovo,4,0,55.4368213,37.7680693
74321662,Domodedovo,4,0,55.4368213,37.7680693
74321794,Domodedovo,4,3,55.4368213,37.7680693
74321806,Domodedovo,4,2,55.4368213,37.7680693
74021015,Domodedovo airport,10,3,55.40912105,37.904166212415895
74321849,Dubna,4,3,56.74177675,37.17553296960783
74321866,Dzerjinsk,0,3,56.2382157,43.4617405
74321867,Dzerjinsk,0,3,56.2382157,43.4617405
74221414,Ekaterinburg,0,0,56.839104,60.60825
74221439,Ekaterinburg,0,2,56.839104,60.60825
74221450,Ekaterinburg,0,3,56.839104,60.60825
74213756,Ekaterinburg,9,0,56.839104,60.60825
74220426,Ekaterinburg,0,4,56.839104,60.60825
74220433,Ekaterinburg,0,3,56.839104,60.60825
74220550,Ekaterinburg,0,0,56.839104,60.60825
74220607,Ekaterinburg,9,3,56.839104,60.60825
74220766,Ekaterinburg,0,3,56.839104,60.60825
74220765,Ekaterinburg,9,0,56.839104,60.60825
74220854,Ekaterinburg,0,2,56.839104,60.60825
74220935,Ekaterinburg,0,3,56.839104,60.60825
74220954,Ekaterinburg,0,3,56.839104,60.60825
74220975,Ekaterinburg,9,0,56.839104,60.60825
74221082,Ekaterinburg,0,0,56.839104,60.60825
74221041,Ekaterinburg,9,4,56.839104,60.60825
74221255,Ekaterinburg,0,4,56.839104,60.60825
74321681,Ekaterinburg,0,0,56.839104,60.60825
