restaurant_id,Market Segment,Price Group,Room Type,latitude,longitude,order_value_mean,order_value_std,product_qnt_mean,product_qnt_std,used_points_qnt_mean,used_points_qnt_std,order_value_mean_Kmean_Cluster,Combined_Cluster,latitude_longitude_Dbscan_Cluster
74216848,Omsk,9,3,54.9830067,73.37452243916528,3.544382684857672,2.69597618586803,124.27219134242884,74.16442918996867,31.800572679804617,647.6028849612896,2,2.0_1.0,1.0
74220425,Omsk,9,2,54.9830067,73.37452243916528,3.901979565772669,2.9144573892482817,120.9514687100894,74.81620324530924,4.980842911877395,197.07401237298282,9,9.0_-1.0,-1.0
74220434,Omsk,9,4,54.9830067,73.37452243916528,3.1449403446752098,2.263763020507017,122.09898365002209,74.36980860615405,29.2311091471498,708.5496390491267,4,4.0_-1.0,-1.0
74220484,Omsk,9,4,54.9830067,73.37452243916528,3.3795493934142113,2.582694301430157,122.578856152513,73.02434460698998,9.300982091276719,279.9465826299768,8,8.0_-1.0,-1.0
74220576,Omsk,9,3,54.9830067,73.37452243916528,4.175595238095238,2.9540028570822052,124.11458333333333,74.29877801127347,0.0,0.0,5,5.0_-1.0,-1.0
74220858,Omsk,9,2,54.9830067,73.37452243916528,3.6346001583531273,2.4631731885710018,122.92319873317498,74.45108195439401,0.0,0.0,2,2.0_1.0,1.0
74221076,Omsk,9,3,54.9830067,73.37452243916528,3.3796223446105427,2.5217405298839433,124.6498819826908,73.68186930989084,16.286388670338315,423.7748243291034,8,8.0_-1.0,-1.0
74321785,Omsk,9,3,54.9830067,73.37452243916528,3.1611328125,2.3027112725704355,121.6748046875,74.31841674253349,12.6953125,374.69396344125494,1,1.0_-1.0,-1.0
74321821,Omsk,9,3,54.9830067,73.37452243916528,3.612466725820763,2.6080374211561113,120.17657497781721,74.6731112271425,15.150842945874002,431.8820679004292,2,2.0_1.0,1.0
74321829,Omsk,9,4,54.9830067,73.37452243916528,3.6314683477804044,2.8019187785893873,121.63383241397426,75.39917518164776,11.846598371421067,338.4750345762364,2,2.0_1.0,1.0
74321875,Omsk,9,3,54.9830067,73.37452243916528,3.545190913484775,2.6564668950161496,121.06041565973901,74.83418604835124,1.5466408893185113,99.49121414295068,2,2.0_1.0,1.0
74321892,Omsk,9,3,54.9830067,73.37452243916528,3.4524617996604414,2.583606304725671,121.07130730050933,73.71046825024438,32.76740237691002,515.9084319979497,8,8.0_-1.0,-1.0
74020798,Orehovo-Zuevo,0,3,55.8083278,38.9790038,3.090563647878404,2.328032118219403,124.11399620012666,75.65459864597659,8.169727675744141,459.1067131225579,4,4.0_0.0,0.0
74220768,Orehovo-Zuevo,4,0,55.8083278,38.9790038,3.106037544393709,2.3934103640791267,118.85946220192795,76.25849837551658,6.392694063926941,201.55378681595167,4,4.0_0.0,0.0
74321828,Orehovo-Zuevo,4,0,55.8083278,38.9790038,3.2245762711864407,2.504659300124642,119.78617992177314,76.61570763247576,6.8122555410691,221.61309783446302,1,1.0_0.0,0.0
74020551,Orenburg,4,3,51.7671248,55.0978517,3.4425377015080603,2.4805511799952034,120.16120644825793,75.34793166877631,12.480499219968799,355.15923864539104,8,8.0_-1.0,-1.0
74020851,Orenburg,4,3,51.7671248,55.0978517,3.270332480818414,2.428528621264012,120.73350383631714,75.32088037243477,5.601023017902813,204.96917850640352,1,1.0_-1.0,-1.0
74021026,Orenburg,4,3,51.7671248,55.0978517,3.226809651474531,2.447524843313281,122.37426273458445,76.09678515179058,4.664879356568365,164.44387789778818,1,1.0_-1.0,-1.0
74021484,Orenburg,4,3,51.7671248,55.0978517,3.346121998343914,2.390389083550119,122.41236544300304,75.1606193329783,11.233784156776153,385.3518851238835,8,8.0_-1.0,-1.0
74021928,Orenburg,4,0,51.7671248,55.0978517,3.4732317311449785,2.702322602618951,124.27823368503321,75.79717054348964,2.4618991793669402,124.5390092702352,8,8.0_-1.0,-1.0
74021978,Orenburg,4,4,51.7671248,55.0978517,3.560552407932011,2.6337172808859215,123.38243626062322,75.38989919113214,17.457507082152976,408.4345171941063,2,2.0_-1.0,-1.0
74021952,Orsk,4,3,51.2305015,58.4738015,4.138610662358643,2.997603871032714,121.38546042003232,77.16491281944619,48.49757673667205,1106.110797739171,5,5.0_-1.0,-1.0
