Ресторан,Группа,Метрика before,Метрика after,Изменение метрики,Изменение метрики %
74021053,test,120.16964918094068,123.58409459991448,3.4144454189737985,2.841354237318803
74021089,test,122.57327595074274,125.62402113637853,3.0507451856357903,2.488915436070879
74021098,test,123.975492499886,123.76242990972261,-0.21306259016338913,-0.17185863582157987
74021099,test,125.86836671913483,127.8825684882313,2.0142017690964735,1.6002446219001185
74021130,test,125.25079751704138,127.74564590418511,2.4948483871437332,1.9918822367612383
74021148,test,123.3338010928288,123.60216960586429,0.26836851303548315,0.21759526638888885
74021150,test,131.41214163756038,128.52553011628765,-2.8866115212727266,-2.196609449706793
74021162,test,141.8320610687023,128.09649994470973,-13.735561123992568,-9.68438378494632
74021168,test,125.58152471615156,127.06162833961776,1.4801036234661922,1.178599819369632
74021182,test,123.90860739781041,127.25512622975913,3.346518831948714,2.7007960965977658
