restaurant_id,Market Segment,Price Group,Room Type,latitude,longitude,order_value_mean,order_value_std,product_qnt_mean,product_qnt_std,used_points_qnt_mean,used_points_qnt_std,order_value_mean_Kmean_Cluster,Combined_Cluster,latitude_longitude_Dbscan_Cluster,group
74021640,Saint Petersburg,4,3,59.9606739,30.1586551,2.91606648199446,2.010677147507013,122.18725761772852,76.3137301111474,9.265927977839334,288.54717010399185,7,7.0_4.0,4.0,Control
74009310,Saint Petersburg,0,3,59.9606739,30.1586551,2.7929717341482045,2.034399111760038,124.04354469060353,74.91941753403283,3.991596638655462,174.64458396877652,7,7.0_4.0,4.0,Test
74011239,Saint Petersburg,4,3,59.9606739,30.1586551,2.7642857142857142,1.995586271428548,125.34044265593562,75.47855436104135,14.084507042253522,422.4112303327494,7,7.0_4.0,4.0,Control
74012019,Saint Petersburg,4,0,59.9606739,30.1586551,2.864131954151524,1.9890618207222277,123.92284036902431,75.08961593033611,6.3181436958344985,283.4141926101076,7,7.0_4.0,4.0,Control
74012022,Saint Petersburg,4,0,59.9606739,30.1586551,2.7884876869617767,1.9432832442969223,123.43737724731832,75.61142012260395,5.967668832149871,227.3310387757525,7,7.0_4.0,4.0,Control
74012184,Saint Petersburg,4,0,59.9606739,30.1586551,2.8811380400421496,2.102604276056566,122.85353003161222,75.32276137943819,2.065331928345627,142.2682427591877,7,7.0_4.0,4.0,Control
74012185,Saint Petersburg,4,0,59.9606739,30.1586551,2.8865950226244346,2.068377488422384,124.38178733031674,77.28638488369319,5.260180995475113,238.8110846737564,7,7.0_4.0,4.0,Control
74012833,Saint Petersburg,4,0,59.9606739,30.1586551,2.757244655581948,1.908696634108209,124.58527315914488,74.9575470044142,7.292161520190024,248.3426320129272,7,7.0_4.0,4.0,Control
74013406,Saint Petersburg,4,0,59.9606739,30.1586551,2.920427950518221,2.191429173732536,120.36242059511868,75.82477409514802,1.9391507856904044,106.0522256108014,7,7.0_4.0,4.0,Control
74013755,Saint Petersburg,4,0,59.9606739,30.1586551,2.9408268035666034,2.1686987672883724,120.05512023777358,75.30183723301818,19.45420156714401,543.7853554798697,7,7.0_4.0,4.0,Control
74015266,Saint Petersburg,4,0,59.9606739,30.1586551,2.840769903762029,2.0648183801714417,122.2292213473316,74.36438727920067,2.537182852143482,121.30812232671045,7,7.0_4.0,4.0,Control
74015749,Saint Petersburg,4,0,59.9606739,30.1586551,2.836744882675986,1.9738064435098717,127.2031952071892,74.0062107565627,0.0,0.0,7,7.0_4.0,4.0,Control
74016068,Saint Petersburg,4,3,59.9606739,30.1586551,2.8879372913340107,2.02530046769674,123.64174771374655,75.66052520653861,1.9741617070692408,116.16772649732064,7,7.0_4.0,4.0,Control
74020322,Saint Petersburg,0,0,59.9606739,30.1586551,2.873797726610318,2.0742002969232565,125.6289128533955,73.8315177932748,4.966482075196736,242.1240266653267,7,7.0_4.0,4.0,Control
74020431,Saint Petersburg,4,0,59.9606739,30.1586551,2.778538812785388,2.0222762564456365,124.71885192433136,75.24519061955506,4.92498369210698,197.9137788659693,7,7.0_4.0,4.0,Control
74021685,Saint Petersburg,4,3,59.9606739,30.1586551,2.8111044055522028,2.1402493964453093,125.25648762824382,75.38035154994674,2.202776101388051,126.80798689409428,7,7.0_4.0,4.0,Control
74021686,Saint Petersburg,4,3,59.9606739,30.1586551,2.7885679164105714,2.0256943876385205,121.35279655808236,76.3890557648735,4.56361401352182,186.60147575001167,7,7.0_4.0,4.0,Control
74021713,Saint Petersburg,4,3,59.9606739,30.1586551,2.922893101800223,2.0217381514840698,124.67739365939144,75.71751504423692,4.285486697466943,197.68204267174943,7,7.0_4.0,4.0,Control
74021916,Saint Petersburg,4,3,59.9606739,30.1586551,2.7859838274932613,1.94829400288177,125.58562443845464,75.11351635808037,4.564240790655885,204.243298536597,7,7.0_4.0,4.0,Control
74022005,Saint Petersburg,0,3,59.9606739,30.1586551,2.8210296260320544,2.1584714471569413,129.63963088878097,73.49824512195204,10.879067508499272,299.5229863919025,7,7.0_4.0,4.0,Control
