Unnamed: 0,restraunt_id,Market Segment,Price Group,Room Type,latitude,longitude,sum_system_identification_only_showed,avg_system_identification_only_showed,var_system_identification_only_showed,sum_open_auth_count,avg_tap_email_count,sum_tap_sms_count,avg_tap_sms_count,sum_sessions,avg_sessions,var_session,days_with_test,sum_orders,avg_orders,var_orders,Combined_Cluster,Group,sum_auth_orders,avg_auth_orders,var_auth_orders,conversion_rate,auth_conversion_rate,sum_revenue,avg_revenue,avg_product_count,days_with_test_Kmean_Cluster
598,74321861,Moscow,4,3,55.625578,37.6063916,0,0,0,0,0,0,0,15230,203.0666667,2831.81982,75,10147,135.2933333,1839.588468,2,Control,203,2.706666667,3.453333333,0.6662508207,0.01332895601,5469504,72926.72,3.670194393,0
1011,74021823,Taman,7,2,45.2158646,36.7191326,0,0,0,0,0,0,0,15687,209.16,5741.109189,75,10248,136.64,2781.99027,2,Test,60,0.8,0.8378378378,0.6532797858,0.003824823102,8462609,112834.7867,4.067753113,0
69,74020653,Chelyabinsk,9,0,55.1598408,61.4025547,0,0,0,0,0,0,0,17576,234.3466667,4627.094414,75,11091,147.88,2481.890811,3,Test,143,1.906666667,1.977657658,0.6310309513,0.008136094675,5462593,72834.57333,3.038974501,0
400,74021099,Moscow,0,3,55.625578,37.6063916,0,0,0,0,0,0,0,14224,189.6533333,5056.391712,75,11091,147.88,3885.998919,3,Control,190,2.533333333,3.846846847,0.7797384702,0.01335770529,6116359,81551.45333,3.825241981,0
888,74013406,Saint Petersburg,4,0,59.9606739,30.1586551,0,0,0,0,0,0,0,15475,206.3333333,4079.09009,75,11236,149.8133333,2763.126847,3,Control,209,2.786666667,3.359279279,0.7260743134,0.01350565428,4893232,65243.09333,2.952121955,0
766,74020634,Petrozavodsk,5,0,61.7900426,34.390007,0,0,0,0,0,0,0,13352,178.0266667,3562.161441,75,11284,150.4533333,3513.224144,3,Test,52,0.6933333333,1.134414414,0.8451168364,0.003894547633,6046362,80618.16,3.311008931,0
734,74021928,Orenburg,4,0,51.7671248,55.0978517,0,0,0,0,0,0,0,17476,233.0133333,10126.90523,75,12315,164.2,6444.135135,4,Test,134,1.786666667,2.359279279,0.704680705,0.007667658503,6170982,82279.76,3.451960254,0
1098,74020961,Vladivostok,0,3,43.1150678,131.8855768,0,0,0,0,0,0,0,17184,229.12,6228.188108,75,12365,164.8666667,4115.333333,4,Control,115,1.533333333,1.927927928,0.7195647114,0.006692271881,8408325,112111,4.173050054,0
791,74321719,Reutov,4,0,55.7622453,37.856555,0,0,0,0,0,0,0,17820,237.6,2984.432432,75,12495,166.6,1687.108108,4,Control,175,2.333333333,2.711711712,0.7011784512,0.009820426487,4964339,66191.18667,2.884261486,0
751,74021975,Penza,0,3,53.1937836,45.00674125,0,0,0,0,0,0,0,17768,236.9066667,3051.437117,75,12520,166.9333333,1527.576577,4,Test,219,2.92,3.344864865,0.7046375507,0.01232552904,5432127,72428.36,3.258601752,0
