restraunt_id,days_with_test,sum_system_identification_only_showed,avg_system_identification_only_showed,var_system_identification_only_showed,sum_open_auth_count,avg_tap_email_count,sum_tap_sms_count,avg_tap_sms_count,sum_sessions,avg_sessions,var_session,sum_orders,avg_orders,var_orders,sum_auth_orders,avg_auth_orders,var_auth_orders,conversion_rate,auth_conversion_rate,sum_revenue,avg_revenue,avg_product_count
74009310,75,0,0.0,0.0,0,0.0,0,0.0,58577,781.02666666666664,11866.377657657664,44172,588.96,9186.9308108108144,628,8.3733333333333331,8.48036036036036,0.75408436758454689,0.010720931423596291,17743874.0,236584.98666666663,2.8027982753338718
74016068,74,0,0.0,0.0,0,0.0,0,0.0,38591,521.5,6277.9794520547957,30436,411.29729729729729,4793.472047389856,514,6.9459459459459456,8.9559422436134764,0.78868129874841286,0.013319167681583789,13217616.0,178616.43243243246,2.9457544783283809
74020885,75,0,0.0,0.0,0,0.0,0,0.0,26290,350.53333333333336,5196.3063063063055,22373,298.30666666666673,4793.9722522522525,120,1.6,1.7837837837837833,0.85100798782807152,0.0045644731837200456,16601951.0,221359.34666666665,5.193678071239443
74020418,75,0,0.0,0.0,0,0.0,0,0.0,34697,462.62666666666661,31188.885765765761,15851,211.34666666666664,2092.3917117117112,393,5.2399999999999993,5.7524324324324319,0.45684064904746807,0.011326627662333919,7333725.0,97783.0,3.2291905430408985
74220439,75,0,0.0,0.0,0,0.0,0,0.0,27770,370.26666666666671,4077.7387387387375,20218,269.57333333333332,2500.2479279279287,381,5.08,5.4799999999999995,0.72805185451926535,0.013719841555635577,12490182.0,166535.76,4.0287516121476648
74221479,75,0,0.0,0.0,0,0.0,0,0.0,14729,196.38666666666666,2697.15927927928,11580,154.4,1976.3243243243246,205,2.7333333333333334,4.09009009009009,0.78620408717496093,0.013918120714237219,5923416.0,78978.88,3.4645096279603522
74220805,75,0,0.0,0.0,0,0.0,0,0.0,15169,202.25333333333333,1038.1646846846845,12438,165.83999999999997,999.81189189189206,178,2.3733333333333335,3.3452252252252253,0.81996176412420063,0.011734458434966049,5712409.0,76165.453333333353,3.2104814178255752
74221294,75,0,0.0,0.0,0,0.0,0,0.0,17206,229.41333333333336,1897.0295495495498,13122,174.96,1289.2821621621631,262,3.4933333333333336,3.6587387387387382,0.76264093920725329,0.015227246309426944,7071759.0,94290.120000000024,3.7999110423641866
74013412,75,0,0.0,0.0,0,0.0,0,0.0,29749,396.65333333333331,13192.5809009009,25637,341.82666666666671,11071.983063063064,208,2.7733333333333334,3.79927927927928,0.86177686644929241,0.0069918316582069989,14953946.07,199385.9476,3.840265828731908
74021338,75,0,0.0,0.0,0,0.0,0,0.0,21703,289.37333333333333,1959.1019819819819,17303,230.70666666666665,1206.047927927928,219,2.92,3.4800000000000004,0.79726305119107954,0.010090770861171267,7416981.0,98893.079999999973,2.9338724740150375
74021491,75,0,0.0,0.0,0,0.0,0,0.0,18080,241.06666666666666,1542.360360360361,14146,188.61333333333332,1292.5376576576571,204,2.72,4.5556756756756762,0.7824115044247788,0.011283185840707964,6386654.0,85155.386666666687,3.227795282509895
74321912,75,0,0.0,0.0,0,0.0,0,0.0,16616,221.54666666666665,2393.9538738738734,12040,160.53333333333333,1477.6576576576579,154,2.0533333333333332,2.4565765765765764,0.724602792489167,0.0092681752527684156,5027267.0,67030.226666666669,2.9862746887986278
74020551,75,0,0.0,0.0,0,0.0,0,0.0,24749,329.98666666666668,9286.3376576576557,17782,237.09333333333331,4621.1398198198176,279,3.7199999999999993,4.8259459459459464,0.71849367651218232,0.011273182754858783,8692691.0,115902.54666666666,3.4324573324190637
74021809,75,0,0.0,0.0,0,0.0,0,0.0,36879,491.72,19776.879999999997,18836,251.14666666666665,10465.099819819819,394,5.253333333333333,9.6511711711711712,0.51075137612191224,0.01068358686515361,17853899.0,244573.9589041096,3.5485827274277018
74021412,75,0,0.0,0.0,0,0.0,0,0.0,22427,299.02666666666659,6889.4857657657612,16416,218.88,4529.4854054054085,335,4.4666666666666668,7.3063063063063058,0.7319748517412048,0.01493735229856869,11741131.0,156548.41333333336,4.1272761539763811
74021015,75,0,0.0,0.0,0,0.0,0,0.0,54579,727.72,7541.1502702702828,31625,421.66666666666669,2837.8738738738748,224,2.9866666666666664,2.2025225225225227,0.57943531394858827,0.0041041426189560087,23009832.0,306797.76,3.2512541854182415
