,Fact ID,Market Segment,Price Group,Room Type,latitude,longitude,action_order_success,action_order_success_std,conversion_rate_total
34,74020836,Moscow,0,3,55.7505412,37.6174782,12254,61.80946853842464,0.822647578446886
35,74020837,Moscow,0,3,55.7505412,37.6174782,17398,89.36722344666649,0.8378822426685987
36,74020852,Moscow,4,3,55.7505412,37.6174782,30167,142.93540162644283,0.6981851476095529
37,74020871,Moscow,0,3,55.7505412,37.6174782,6726,37.01237069434467,0.7272399742897848
38,74020880,Moscow,4,3,55.7505412,37.6174782,10423,49.046056560751154,0.7460731403207631
39,74020897,Moscow,4,3,55.7505412,37.6174782,6079,30.689601225441546,0.7662242759768219
40,74020898,Moscow,4,3,55.7505412,37.6174782,27454,154.27573307193205,0.7571411415707561
41,74020918,Moscow,4,3,55.7505412,37.6174782,18155,99.82880396083401,0.726823418633131
42,74020919,Moscow,4,3,55.7505412,37.6174782,18322,75.03808974301452,0.7755347564713437
43,74020973,Moscow,4,3,55.7505412,37.6174782,13016,58.2941826963647,0.791072476612731
44,74020976,Moscow,4,3,55.7505412,37.6174782,15038,66.98750491350116,0.8039676014261077
45,74020981,Moscow,4,3,55.7505412,37.6174782,9859,81.60750248079451,0.6352009290530428
46,74020983,Moscow,4,0,55.7505412,37.6174782,18920,81.35149916283105,0.752484014741745
47,74020989,Moscow,0,3,55.7505412,37.6174782,23505,110.31232148167622,0.7670960444178364
48,74021003,Moscow,0,3,55.7505412,37.6174782,13958,59.30221333361566,0.7785940219921172
49,74021008,Moscow,0,3,55.7505412,37.6174782,42752,209.10013463336233,0.8269450450915412
50,74021010,Moscow,4,3,55.7505412,37.6174782,43644,192.87460377653375,0.7617011133777418
51,74021012,Moscow,4,3,55.7505412,37.6174782,20221,95.10244113994627,0.7939227463487283
52,74021049,Moscow,0,3,55.7505412,37.6174782,12217,72.77861080342349,0.8273477065567698
53,74021053,Moscow,4,4,55.7505412,37.6174782,2582,15.731472301702118,0.6025120555188553
54,74021054,Moscow,4,4,55.7505412,37.6174782,9343,53.55680585727723,0.7187183927761542
55,74021069,Moscow,4,3,55.7505412,37.6174782,22452,110.9610105607445,0.7540019346730725
56,74021070,Moscow,4,3,55.7505412,37.6174782,14222,108.15995476393442,0.7028061251134998
57,74021071,Moscow,0,2,55.7505412,37.6174782,444,47.4510273861378,0.5802165692642031
58,74021083,Moscow,4,3,55.7505412,37.6174782,33077,129.02698567579364,0.7715160364244593
59,74021095,Moscow,0,3,55.7505412,37.6174782,82307,376.03920495882045,0.7302274940170893
60,74021098,Moscow,4,3,55.7505412,37.6174782,25673,124.45892696350647,0.4599595365112571
61,74021099,Moscow,0,3,55.7505412,37.6174782,9952,102.43811017409539,0.7924455108055221
62,74021132,Moscow,0,3,55.7505412,37.6174782,32944,152.04122618932303,0.7342049587707117
63,74021160,Moscow,0,3,55.7505412,37.6174782,19239,113.38260156464948,0.769874653510412
64,74021171,Moscow,0,0,55.7505412,37.6174782,22071,116.33030818107446,0.8518384338996661
65,74021184,Moscow,0,3,55.7505412,37.6174782,53360,394.03455425872835,0.73861516478948
66,74021208,Moscow,4,3,55.7505412,37.6174782,38502,192.03906831527405,0.7413619777010398
67,74021219,Moscow,4,3,55.7505412,37.6174782,8035,43.21882935864039,0.7174983327183996
68,74021221,Moscow,4,3,55.7505412,37.6174782,14603,65.91456553656927,0.7648125160103527
69,74221226,Moscow,4,2,55.7505412,37.6174782,6841,28.4952948672923,0.8068772286122212
70,74021242,Moscow,4,3,55.7505412,37.6174782,16865,139.4655705305382,0.7440966357562196
